Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Dallas Cowboys,17,230,111,0.483,23,13,0.565,71,40,0.563
2,Buffalo Bills,17,219,109,0.498,16,9,0.563,65,41,0.631
3,Philadelphia Eagles,17,225,108,0.48,26,19,0.731,60,36,0.6
4,Green Bay Packers,17,223,105,0.471,24,12,0.5,64,33,0.516
5,Chicago Bears,17,238,98,0.412,26,13,0.5,49,28,0.571
6,Tampa Bay Buccaneers,17,236,98,0.415,18,12,0.667,49,22,0.449
7,Kansas City Chiefs,17,220,96,0.436,20,10,0.5,61,33,0.541
8,Los Angeles Rams,17,226,95,0.42,21,13,0.619,55,35,0.636
9,Detroit Lions,17,224,93,0.415,40,21,0.525,64,41,0.641
10,Los Angeles Chargers,17,237,91,0.384,32,15,0.469,47,27,0.574
11,New Orleans Saints,17,235,91,0.387,19,9,0.474,60,32,0.533
12,Atlanta Falcons,17,225,90,0.4,19,8,0.421,47,22,0.468
13,Arizona Cardinals,17,225,88,0.391,34,15,0.441,44,27,0.614
14,Houston Texans,17,232,88,0.379,21,8,0.381,53,29,0.547
15,Baltimore Ravens,17,207,87,0.42,14,8,0.571,68,42,0.618
16,Jacksonville Jaguars,17,228,87,0.382,29,13,0.448,52,26,0.5
17,San Francisco 49ers,17,179,85,0.475,13,7,0.538,67,45,0.672
18,Pittsburgh Steelers,17,232,85,0.366,19,9,0.474,42,20,0.476
19,Minnesota Vikings,17,223,85,0.381,29,17,0.586,51,24,0.471
20,Miami Dolphins,17,202,85,0.421,25,11,0.44,58,38,0.655
21,Carolina Panthers,17,249,85,0.341,48,23,0.479,36,18,0.5
22,Indianapolis Colts,17,232,82,0.353,32,16,0.5,57,28,0.491
23,Cincinnati Bengals,17,218,82,0.376,20,9,0.45,52,31,0.596
24,Denver Broncos,17,220,81,0.368,20,13,0.65,58,30,0.517
25,Cleveland Browns,17,253,80,0.316,32,18,0.563,50,28,0.56
26,Las Vegas Raiders,17,216,77,0.356,23,14,0.609,47,23,0.489
27,Washington Commanders,17,216,77,0.356,29,16,0.552,49,31,0.633
28,New York Giants,17,248,75,0.302,37,18,0.486,43,19,0.442
29,Seattle Seahawks,17,207,75,0.362,16,6,0.375,54,26,0.481
30,Tennessee Titans,17,212,71,0.335,20,11,0.55,48,23,0.479
31,New England Patriots,17,222,67,0.302,25,9,0.36,36,21,0.583
32,New York Jets,17,235,61,0.26,29,17,0.586,37,12,0.324
