Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Cleveland Browns,17,222,1221,32.9,16.2,5.5,25.6,Own 29.7,02:28:00,1.69
2,New York Jets,17,208,1092,26,13.9,5.3,21.8,Own 30.3,02:23:00,1.13
3,New England Patriots,17,203,1045,20.2,14.3,5.1,23.1,Own 26.2,02:21:00,1.1
4,New York Giants,17,199,1088,23.6,8.5,5.5,23.8,Own 28.8,02:31:00,1.21
5,Washington Commanders,17,197,1084,29.4,15.2,5.5,26.9,Own 27.4,02:33:00,1.68
6,Baltimore Ravens,17,197,1113,43.1,9.6,5.6,31.8,Own 32.8,02:42:00,2.37
7,Atlanta Falcons,17,196,1129,32.1,14.3,5.8,28.8,Own 27.5,02:32:00,1.6
8,Indianapolis Colts,17,196,1135,35.7,9.2,5.8,29.2,Own 28.3,02:33:00,1.83
9,Jacksonville Jaguars,17,195,1151,35.4,14.9,5.9,29.5,Own 31.2,02:42:00,1.86
10,Pittsburgh Steelers,17,194,1060,29.9,7.7,5.5,26.6,Own 28.4,02:36:00,1.49
11,New Orleans Saints,17,194,1158,36.6,8.2,6,29.6,Own 31.2,02:44:00,1.94
12,Houston Texans,17,191,1121,37.2,7.3,5.9,30.4,Own 27.1,02:39:00,1.89
13,Los Angeles Chargers,17,190,1139,34.7,10.5,6,29.4,Own 26.9,02:35:00,1.78
14,Denver Broncos,17,189,1051,34.9,10.6,5.6,26.8,Own 30.8,02:39:00,1.81
15,Cincinnati Bengals,17,188,1079,34.6,8.5,5.7,28.8,Own 28.0,02:48:00,1.87
16,Detroit Lions,17,187,1158,40.6,11.8,6.2,35.8,Own 30.4,02:51:00,2.44
17,Miami Dolphins,17,186,1081,43.5,13.4,5.8,36.5,Own 29.6,02:45:00,2.53
18,Los Angeles Rams,17,185,1137,41.1,9.2,6.1,33,Own 28.6,02:50:00,2.18
19,Chicago Bears,17,184,1132,38,13,6.2,29.8,Own 29.8,02:57:00,1.9
20,Tampa Bay Buccaneers,17,183,1078,35.5,9.8,5.9,29.1,Own 28.8,02:44:00,1.85
21,Buffalo Bills,17,181,1144,41.4,14.9,6.3,35.1,Own 29.0,03:01:00,2.37
22,Tennessee Titans,17,181,1032,32.6,9.4,5.7,26.9,Own 27.3,02:48:00,1.64
23,Arizona Cardinals,17,180,1101,35,9.4,6.1,30.4,Own 26.2,02:46:00,1.83
24,Carolina Panthers,17,180,1126,25,11.1,6.3,25.1,Own 25.6,02:56:00,1.19
25,Minnesota Vikings,17,179,1101,34.1,18.4,6.2,32.9,Own 26.6,02:47:00,1.85
26,Las Vegas Raiders,17,179,1040,31.8,13.4,5.8,27.5,Own 29.4,02:43:00,1.65
27,San Francisco 49ers,17,179,1049,45.3,10.1,5.9,37.8,Own 30.4,02:57:00,2.7
28,Kansas City Chiefs,17,178,1108,39.3,14.6,6.2,33.3,Own 28.6,02:53:00,2.01
29,Seattle Seahawks,17,178,1037,38.8,8.4,5.8,30.8,Own 28.7,02:34:00,1.93
30,Philadelphia Eagles,17,177,1144,42.9,15.3,6.5,34,Own 28.9,02:59:00,2.33
31,Green Bay Packers,17,174,1085,39.7,9.2,6.2,33.8,Own 29.8,02:54:00,2.16
32,Dallas Cowboys,17,169,1157,50.3,8.9,6.8,37.3,Own 28.9,03:11:00,2.67
,League Total,,6019,35376,35.5,11.6,5.9,29.9,Own 28.8,02:43:00,1.88
