Punt Returns,,,,,,,,Kick Returns,,,,,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Tennessee Titans,17,42,330,0,21,7.9,18,372,0,33,20.7,6113
2,Kansas City Chiefs,17,41,380,0,50,9.3,12,241,0,31,20.1,7013
3,Cleveland Browns,17,41,343,0,21,8.4,11,261,0,36,23.7,6760
4,Carolina Panthers,17,37,322,1,79,8.7,24,637,0,52,26.5,6181
5,Minnesota Vikings,17,37,289,0,25,7.8,19,477,0,47,25.1,7227
6,Washington Commanders,17,35,278,0,61,7.9,24,601,0,40,25,6720
7,New York Giants,17,35,311,1,94,8.9,13,249,0,36,19.2,6193
8,San Francisco 49ers,17,34,273,0,19,8,20,437,0,34,21.9,8014
9,Cincinnati Bengals,17,34,346,1,81,10.2,17,387,0,46,22.8,6697
10,New York Jets,17,33,319,1,65,9.7,24,542,0,34,22.6,6112
11,New England Patriots,17,33,208,0,25,6.3,18,471,1,98,26.2,5807
12,Atlanta Falcons,17,33,239,0,23,7.2,14,236,0,29,16.9,6525
13,New Orleans Saints,17,32,392,1,76,12.3,22,466,0,28,21.2,7041
14,Arizona Cardinals,17,31,286,0,49,9.2,18,382,0,40,21.2,6530
15,Buffalo Bills,17,31,360,1,96,11.6,17,349,0,41,20.5,7378
16,Pittsburgh Steelers,17,30,257,0,34,8.6,24,565,0,37,23.5,6454
17,Houston Texans,17,30,292,0,22,9.7,23,613,2,98,26.7,7218
18,Jacksonville Jaguars,17,29,297,0,48,10.2,29,688,0,53,23.7,7257
19,Detroit Lions,17,29,331,0,42,11.4,19,421,0,31,22.2,7904
20,Philadelphia Eagles,17,29,417,0,54,14.4,13,254,0,38,19.5,7183
21,Baltimore Ravens,17,29,417,1,76,14.4,13,319,0,78,24.5,7573
22,Indianapolis Colts,17,29,267,0,32,9.2,9,200,0,42,22.2,6688
23,Los Angeles Rams,17,28,204,0,29,7.3,9,145,0,36,16.1,6803
24,Miami Dolphins,17,27,265,0,19,9.8,18,441,0,33,24.5,7977
25,Green Bay Packers,17,26,189,0,35,7.3,31,783,0,51,25.3,7227
26,Seattle Seahawks,17,25,265,0,32,10.6,26,680,0,66,26.2,6874
27,Tampa Bay Buccaneers,17,25,234,0,51,9.4,16,327,0,32,20.4,6217
28,Las Vegas Raiders,17,25,249,0,32,10,11,262,0,40,23.8,6040
29,Los Angeles Chargers,17,24,385,1,87,16,18,390,0,46,21.7,6805
30,Chicago Bears,17,23,188,0,31,8.2,23,543,0,37,23.6,6787
31,Denver Broncos,17,20,326,0,52,16.3,16,398,1,99,24.9,6260
32,Dallas Cowboys,17,18,98,0,15,5.4,18,393,0,63,21.8,7328
,Avg Team,,30.5,292.4,0.3,46,9.6,18.3,422.8,0.1,47,23,6840.8
,League Total,,975,9357,8,96,9.6,587,13530,4,99,23,218906
,Avg Tm/G,,1.8,17.2,0,,9.6,1.1,24.9,0,,23,402.4
